3,0,0,0,0,13.825
3,0,0,0,1,13.81
3,0,0,50,0,12.903
3,0,0,50,1,12.902
3,0,3,0,0,13.769
3,0,3,0,1,13.819
3,0,3,50,0,11.792
3,0,3,50,1,11.756
3,10,0,0,0,13.825
3,10,0,0,1,13.813
3,10,0,50,0,12.683
3,10,0,50,1,12.646
3,10,3,0,0,13.785
3,10,3,0,1,13.814
3,10,3,50,0,12.246
3,10,3,50,1,12.276
3,0,0,80,0,10.57
3,0,0,80,1,10.583
3,0,0,90,0,10.801
3,0,0,90,1,10.838
3,0,3,80,0,10.894
3,0,3,80,1,10.85
3,0,3,90,0,10.856
3,0,3,90,1,10.889
3,10,0,80,0,10.903
3,10,0,80,1,10.899
3,10,0,90,0,11.328
3,10,0,90,1,11.297
3,10,3,80,0,10.984
3,10,3,80,1,11.046
3,10,3,90,0,10.851
3,10,3,90,1,10.889
