2,0,0,24.168,24.144,24.191
2,0,10,23.866,23.843,23.889
2,0,20,23.707,23.687,23.728
2,0,30,23.437,23.406,23.467
2,0,40,23.257,23.23,23.283
2,0,50,22.753,22.726,22.781
2,0,60,21.836,21.785,21.887
2,0,70,20.727,20.654,20.801
2,0,80,20.406,20.315,20.497
2,0,90,20.538,20.148,20.927
2,10,0,24.192,24.162,24.222
2,10,10,23.77,23.722,23.818
2,10,20,23.371,23.131,23.611
2,10,30,23.174,23.106,23.243
2,10,40,22.787,22.698,22.875
2,10,50,21.898,21.77,22.025
2,10,60,21.418,21.3,21.536
2,10,70,20.74,20.507,20.974
2,10,80,19.511,18.903,20.118
2,10,90,20.961,19.267,22.654
