5.717,198,30,196.6,0.098684,0.65132,0.059606,139980,588,1.3325
6.6995,311,50,397.74,0.061576,0.383,0.1017,148070,434,1.0803
6.3351,189,33,221.91,0.058511,0.33511,0.11019,134210,387,1.0952
6.6267,281,40,424.21,0.05298,0.37219,0.1103,135510,372,1.1071
6.5497,270,44,436.71,0.062947,0.38627,0.13276,205230,457,1.0781
6.6451,227,37,235.38,0.048114,0.29519,0.095822,151880,884,1.1917
6.7405,354,67,492.91,0.079196,0.41844,0.10108,155900,698,1.0824
7.0414,191,27,168.18,0.023622,0.1671,0.10668,115670,625,1.0614
6.7546,479,61,512.59,0.071096,0.55828,0.10902,158450,736,1.1698
6.7957,399,58,391.12,0.064877,0.44631,0.12106,143110,736,1.1161
6.42,170,28,151.53,0.045603,0.27687,0.11496,123040,399,1.0778
6.4998,248,36,125,0.054135,0.37293,0.11619,133920,490,1.1363
6.9048,238,37,197.23,0.037111,0.23872,0.11933,155130,447,1.0491
6.6012,264,42,278.65,0.057065,0.3587,0.10603,120170,481,1.1277
6.8035,405,59,439.07,0.065483,0.4495,0.12022,192300,755,1.1229
6.8617,362,53,482.35,0.055497,0.37906,0.11376,171010,547,0.99512
6.82,399,46,401.38,0.050218,0.43559,0.089229,165770,786,1.1026
6.9679,251,33,188,0.031073,0.23635,0.10116,122370,511,1.1184
6.5309,579,58,832.91,0.084548,0.84402,0.059844,194040,936,1.0818
6.558,557.66,72.482,807.75,0.092622,0.7465,0.074007,288440,827,1.0671
6.1399,641,59,788.22,0.12716,1.3815,0.059345,124720,810,1.6366
6.375,163,22,158.1,0.037479,0.27768,0.10225,70961,293,1.0184
6.0307,661.84,68.928,547.35,0.15849,1.7239,0.062683,335820,1398,2.0732
6.5439,299,38,235.88,0.054676,0.43022,0.093689,121360,648,1.0499
6.6619,167,22,174.22,0.028133,0.21355,0.10729,65539,559,1.1078
6.3172,245,34,957.84,0.061372,0.44224,0.093032,98233,399,1.0947
6.809,377,51,314.5,0.056291,0.41611,0.091757,251910,506,1.0621
6.8201,423.31,57.317,691.89,0.063505,0.45816,0.11783,122730,615,1.0853
6.4968,303,44,267.79,0.066365,0.45701,0.096865,175630,509,1.1391
6.5147,233,39,246.24,0.057778,0.34519,0.10398,183620,521,1.1966
6.5793,325,46,347.46,0.063889,0.45139,0.092864,113760,881,1.2557
6.1137,179,26,230.63,0.057522,0.39602,0.092691,99045,493,1.1396
6.7923,222,36,369.56,0.040404,0.24916,0.097701,87753,400,1.1575
6.3936,126,22,379.245,0.036789,0.2107,0.090344,124240,490,1.1099
6.7991,354,51,508.35,0.056856,0.39465,0.10753,239240,415,1.1529
6.9157,438,52,581.48,0.051587,0.43452,0.10774,320300,1146,1.1917
6.3578,367,46,465.34,0.079723,0.63605,0.080088,172060,705,1.1491
6.5265,180,29,199.97,0.04246,0.26354,0.10256,49994,417,1.2046
6.0403,250,38,379.245,0.090476,0.59524,0.0688,77898,470,1.6664
5.9081,407,44,512.98,0.11957,1.106,0.046433,102110,439,1.6772
6.7069,218,26,216.66,0.031785,0.2665,0.11048,129020,431,1.1679
6.7476,376,40,287.56,0.046948,0.44131,0.089775,218000,791,1.2022
6.4862,340,36,354.01,0.054878,0.51829,0.071486,131380,496,1.3946
6.2005,167,21,406.65,0.042596,0.33874,0.093538,154000,551,1.2365
6.6307,218,25,431.85,0.032982,0.2876,0.10971,143920,615,1.2522
6.4297,190,21,152.61,0.033871,0.30645,0.096167,122950,589,1.1664
6.5876,363,40,608.33,0.055096,0.5,0.086143,125790,559,1.1037
6.7452,258,30,388.93,0.035294,0.30353,0.10834,156070,513,1.1172
