Dataset,Selection,Learning,Sparse,BinWeight,RMSE
1,0,0,80,0,0.0150949355177675
1,0,0,80,1,0.0150606430345235
1,0,0,90,0,0.015372090747264
1,0,0,90,1,0.0153892698355364
1,0,3,80,0,0.0155344928910239
1,0,3,80,1,0.015582579089982
1,0,3,90,0,0.0155314781114695
1,0,3,90,1,0.0154966015616191
1,10,0,80,0,0.0155930331074535
1,10,0,80,1,0.0156070994861767
1,10,0,90,0,0.0161641785932786
1,10,0,90,1,0.016048356872388
1,10,3,80,0,0.0157242676424274
1,10,3,80,1,0.0156897913523035
1,10,3,90,0,0.0155362809953952
1,10,3,90,1,0.0155879305569409
2,0,0,80,0,0.0151261510182508
2,0,0,80,1,0.0151502307983969
2,0,0,90,0,0.0154321726484603
2,0,0,90,1,0.015403837363282
2,0,3,80,0,0.0155587124040241
2,0,3,80,1,0.0155108060915702
2,0,3,90,0,0.0154780771587342
2,0,3,90,1,0.0154686791838817
2,10,0,80,0,0.0155654806447829
2,10,0,80,1,0.0155937646347487
2,10,0,90,0,0.0162154809411967
2,10,0,90,1,0.0161108479953038
2,10,3,80,0,0.0157722118598415
2,10,3,80,1,0.0157072960887222
2,10,3,90,0,0.0154781294195121
2,10,3,90,1,0.015544826747958
3,0,0,80,0,0.0151002186826591
3,0,0,80,1,0.0151191910009875
3,0,0,90,0,0.015430056039506
3,0,0,90,1,0.0154827126347552
3,0,3,80,0,0.0155626877021859
3,0,3,80,1,0.0154999346518037
3,0,3,90,0,0.0155081389531364
3,0,3,90,1,0.0155561867669267
3,10,0,80,0,0.0155756935205766
3,10,0,80,1,0.0155699676998647
3,10,0,90,0,0.0161823717865886
3,10,0,90,1,0.0161385209814612
3,10,3,80,0,0.0156909272095706
3,10,3,80,1,0.015780187095958
3,10,3,90,0,0.0155020958733867
3,10,3,90,1,0.0155555800131462
