1,0,0,24.198,24.171,24.226
1,0,10,23.879,23.857,23.901
1,0,20,23.708,23.688,23.728
1,0,30,23.424,23.398,23.45
1,0,40,23.255,23.225,23.285
1,0,50,22.774,22.741,22.806
1,0,60,21.834,21.786,21.882
1,0,70,20.665,20.587,20.743
1,0,80,20.198,19.901,20.495
1,0,90,20.605,20.219,20.991
1,10,0,24.195,24.169,24.221
1,10,10,23.672,23.609,23.736
1,10,20,23.261,22.93,23.593
1,10,30,23.073,22.835,23.312
1,10,40,22.772,22.674,22.87
1,10,50,22.094,21.979,22.208
1,10,60,21.263,21.02,21.507
1,10,70,20.725,20.495,20.955
1,10,80,19.9,19.434,20.365
1,10,90,20.223,19.721,20.725
