Dataset,NoFeatures,Baseline,relRMSE,lower,upper
3,0,0,23.2203312396672,23.202,23.239
3,0,10,22.9629564845267,22.947,22.979
3,0,20,22.6670791729912,22.65,22.685
3,0,30,22.4966913046766,22.475,22.518
3,0,40,21.9834910536788,21.948,22.019
3,0,50,20.4863507673205,20.325,20.648
3,0,60,19.492461954697,19.217,19.768
3,0,70,18.9403912185084,18.597,19.284
3,0,80,17.3765517405563,16.962,17.791
3,0,90,18.6727713963677,18.181,19.165
